epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2777,1.44726,2.36861,1.45312,0.0296,0.20207,0.12571,0.06034,2.14524,3.07422,1.24586,0.000546704,0.000546704,0.000546704
2,48.4787,1.52108,1.57916,1.43719,0.37226,0.16775,0.26217,0.10441,2.02899,2.31721,1.27352,0.00109146,0.00109146,0.00109146
3,70.5707,1.50013,1.56012,1.4865,0.3438,0.30117,0.33887,0.13324,2.22821,1.46813,1.35802,0.00162521,0.00162521,0.00162521
4,93.0713,1.48473,1.44148,1.48846,0.32223,0.28627,0.3016,0.12272,2.08947,1.51898,1.37777,0.00161749,0.00161749,0.00161749
5,115.788,1.4955,1.33196,1.44003,0.31774,0.25842,0.27089,0.11251,2.10397,1.57024,1.34829,0.00160099,0.00160099,0.00160099
6,137.416,1.52392,1.25621,1.43014,0.43526,0.57869,0.48332,0.18107,2.0948,2.18368,1.33561,0.00158448,0.00158448,0.00158448
7,160.574,1.44041,1.20204,1.41476,0.65423,0.57679,0.57347,0.23304,2.00944,1.56844,1.33091,0.00156798,0.00156798,0.00156798
8,182.402,1.44315,1.1217,1.42262,0.47157,0.40102,0.43296,0.17688,2.02699,1.48388,1.37055,0.00155148,0.00155148,0.00155148
9,204.929,1.40863,1.06423,1.37839,0.52256,0.41598,0.42636,0.16979,2.15096,1.39798,1.36442,0.00153497,0.00153497,0.00153497
10,225.991,1.4213,1.05562,1.36519,0.6652,0.40116,0.5213,0.25039,2.05905,1.23115,1.33015,0.00151847,0.00151847,0.00151847
11,248.755,1.40286,1.01436,1.38734,0.78598,0.51551,0.56482,0.24924,2.06837,1.20453,1.34712,0.00150197,0.00150197,0.00150197
12,271.835,1.39975,1.0063,1.37792,0.5768,0.49996,0.54905,0.22685,2.20387,1.24427,1.41612,0.00148546,0.00148546,0.00148546
13,292.867,1.4199,1.00747,1.37808,0.67075,0.59903,0.58061,0.24654,1.96445,1.11586,1.28441,0.00146896,0.00146896,0.00146896
14,315.605,1.38472,0.98136,1.38106,0.69567,0.55421,0.59616,0.23775,1.99685,1.09481,1.28524,0.00145246,0.00145246,0.00145246
15,336.733,1.34434,0.93232,1.32216,0.72454,0.61122,0.63392,0.25537,1.93978,1.19203,1.28867,0.00143595,0.00143595,0.00143595
16,359.765,1.34881,0.91843,1.334,0.8548,0.49653,0.60013,0.26728,2.03843,1.09808,1.3256,0.00141945,0.00141945,0.00141945
